;;;en;;;de;;;es;;;pl;;;
15;Speech;audiorec;PA;Syllable repetition;Please repeat the syllable **pa** as many times as possible. Press Start button when you are ready.;PA;Silbenwiederholung;Bitte wiederholen Sie die Silbe ** pa ** so oft wie möglich. Drücken Sie Start, wenn Sie bereit sind.;PA;Repetición rápida de sílaba;Repita la palabra **pa** tan rápido y tantas veces sea posible. Cuando este listo, presione el botón Empezar.;PA;Powtarzanie słów;Powtórz słowo ** pa ** tyle razy, ile to możliwe. Naciśnij przycisk Start, gdy będziesz gotowy;_pa.webm
16;Speech;audiorec;TA;Syllable repetition;Please repeat the syllable **ta** as many times as possible. Press Start button when you are ready.;TA;Silbenwiederholung;Bitte wiederholen Sie die Silbe ** ta ** so oft wie möglich. Drücken Sie Start, wenn Sie bereit sind.;TA;Repetición rápida de sílaba;Repita la palabra **ta** tan rápido y tantas veces sea posible. Cuando este listo, presione el botón Empezar.;TA;Powtarzanie słów;Powtórz słowo ** ta ** tyle razy, ile to możliwe. Naciśnij przycisk Start, gdy będziesz gotowy;_ta.webm
17;Speech;audiorec;KA;Syllable repetition;Please repeat the syllable **ka** as many times as possible. Press Start button when you are ready.;KA;Silbenwiederholung;Bitte wiederholen Sie die Silbe ** ka ** so oft wie möglich. Drücken Sie Start, wenn Sie bereit sind.;KA;Repetición rápida de sílaba;Repita la palabra **ka** tan rápido y tantas veces sea posible. Cuando este listo, presione el botón Empezar.;KA;Powtarzanie słów;Powtórz słowo ** ka ** tyle razy, ile to możliwe. Naciśnij przycisk Start, gdy będziesz gotowy;_ka.webm
18;Speech;audiorec;Vowel AH;Sustained phonation;Please repeat the vowel ** ah ** in a sustained manner (at least for 3 seconds). When you are ready, press the Start button.;Vokal AH;Anhaltende Phonation;Bitte wiederholen Sie den Vokal ** ah ** nachhaltig (mindestens 3 Sekunden). Drücken Sie Start, wenn Sie bereit sind.;Vocal A;Fonación sostenida;Por favor repita la vocal **a** de forma sostenida (Por lo menos durante 3 segundos). Cuando este listo, presione el botón Empezar.;Samogłoska AH;Trwałe fonowanie;Powtórz samogłoskę ** ah ** w sposób ciągły (przynajmniej przez 3 sekundy). Kiedy będziesz gotowy, naciśnij przycisk Start;_ah.webm
19;Speech;audiorec;Vowel IH;Sustained phonation;Please repeat the vowel ** ih ** in a sustained manner (at least for 3 seconds). When you are ready, press the Start button.;Vokal IH;Anhaltende Phonation;Bitte wiederholen Sie den Vokal ** ih ** nachhaltig (mindestens 3 Sekunden). Drücken Sie Start, wenn Sie bereit sind.;Vocal I;Fonación sostenida;Por favor repita la vocal **i** de forma sostenida (Por lo menos durante 3 segundos). Cuando este listo, presione el botón Empezar.;Samogłoska IH;Trwałe fonowanie;Powtórz samogłoskę ** ih ** w sposób ciągły (przynajmniej przez 3 sekundy). Kiedy będziesz gotowy, naciśnij przycisk Start;_ih.webm
20;Speech;audiorec;Vowel UH;Sustained phonation;Please repeat the vowel ** uh ** in a sustained manner (at least for 3 seconds). When you are ready, press the Start button.;Vokal UH;Anhaltende Phonation;Bitte wiederholen Sie den Vokal ** uh ** nachhaltig (mindestens 3 Sekunden). Drücken Sie Start, wenn Sie bereit sind.;Vocal U;Fonación sostenida;Por favor repita la vocal **u** de forma sostenida (Por lo menos durante 3 segundos). Cuando este listo, presione el botón Empezar.;Samogłoska UH;Trwałe fonowanie;Powtórz samogłoskę ** uh ** w sposób ciągły (przynajmniej przez 3 sekundy). Kiedy będziesz gotowy, naciśnij przycisk Start;_uh.webm
21;Speech;imgdes;Monologue;Image description;Please **describe** the image that will be displayed on screen. Press Start button when you are ready.;Monolog;Bildbeschreibung;Bitte **beschreiben** Sie  das Bild, das auf dem Bildschirm angezeigt wird. Drücken Sie Start, wenn Sie bereit sind.;Monólogo;Descripción de imagen;Por favor **describa** la imagen que aparecerá en pantalla. Cuando este listo, presione el botón Empezar.;Monolog;opis obrazu;** Opisz ** obraz, który będzie wyświetlany na ekranie. Naciśnij przycisk Start, gdy będziesz gotowy;_image.webm
22;Movement;balance;Posture;Stand up straight during 30 seconds;Please **put the mobile in your pocket** and **stand up straight** during 30 seconds. Press Start button when you are ready.;Körperhaltung;Stehen Sie 3 Sekunden lang gerade auf;Bitte ** stecken Sie das Handy in die Tasche ** und ** stehen Sie während 30 Sekunden aufrecht **. Drücken Sie Start, wenn Sie bereit sind.;Postura;Pararse derecho por 30 segundos;Por favor **póngase de pie** y guarde el celular en **su bolsillo**. Cuando inicie la prueba, mantengase de pie durante 30 segundos. Cuando esté listo, presione el botón Empezar.;postura;Stań prosto przez 30 sekund;** włóż telefon komórkowy do kieszeni ** i ** stań prosto ** przez 30 sekund. Naciśnij przycisk Start, gdy będziesz gotowy;
23;Movement;circling;Circles-Right;Make circles with the right hand;Please stretch the **right arm** out from your body **while holding your mobile**, then make up to 10 circles. Press Start button when you are ready.;Rechte Handkreise;Rechte Handkreise Deutsch beschreibung;Rechte Handkreise Deutsch anweisung;Círculo - Brazo derecho;Realizar círculos con el brazo derecho;Por favor extienda el **brazo derecho** (mientras sostiene el celular) y realice 10 círculos. Cuando este listo, presione el botón Empezar.;Koła w prawo;Kręgi wykonuj prawą ręką;Wyciągnij ** prawe ramię ** z ciała **, trzymając telefon **, a następnie ułóż maksymalnie 10 kółek. Naciśnij przycisk Start, gdy będziesz gotowy.;
24;Movement;circling;Circles-Left;Make circles with the left hand;Please stretch the **left arm** out from your body **while holding your mobile**, then make up to 10 circles. Press Start button when you are ready.;Linke Handkreise;Linke Handkreise Deutsch beschreibung;Linke Handkreise Deutsch anweisung;Círculo - Brazo izquierdo;Realizar círculos con el brazo izquierdo;Por favor extienda el **brazo izquierdo** (mientras sostiene el celular) y realice 10 círculos. Cuando este listo, presione el botón Empezar.;Koła w lewo;Twórz okręgi lewą ręką;Wyciągnij ** lewe ramię ** z ciała ** trzymając telefon **, a następnie ułóż maksymalnie 10 kółek. Naciśnij przycisk Start, gdy będziesz gotowy;
25;Movement;rotation;Rotation-Right;Right hand rotation (Pronation-Supination);Please stretch the **right arm** out in from of your body with the palm down **(while holding your mobile)**, then turn your palm up and down alternately up to 10 times. Press Start exercise when you are ready.;Drehung rechts;Drehung rechts Deutsch beschreibung;Drehung rechts Deutsch anweisung;Rotación - Mano derecha;Movimiento de pronación-supinación con la mano derecha;Por favor extienda el **brazo derecho** hacia el frente con la palma de la mano hacia abajo (mientras sostiene el celular),  luego, la mano hacia arriba y hacia abajo alternadamente 10 veces. Cuando este listo, presione el botón Empezar.;Obrót w prawo;Obrót w prawo (pronacja-supinacja);Wyciągnij ** prawe ramię ** z ciała, trzymając dłoń w dół ** (trzymając telefon) **, a następnie obróć dłoń w górę i w dół na przemian do 10 razy. Naciśnij Rozpocznij ćwiczenie, gdy będziesz gotowy.;_pronation_right.webm
26;Movement;rotation;Rotation-Left;Left hand rotation (Pronation-Supination);Please stretch the **left arm** out in from of your body with the palm down **(while holding your mobile)**, then turn your palm up and down alternately up to 10 times. Press Start exercise when you are ready.;Drehung links;Drehung links Deutsch beschreibung;Drehung links Deutsch anweisung;Rotación - Mano izquierda;Movimiento de pronación-supinación con la mano izquierda;Por favor extienda el **brazo izquierdo** hacia el frente con la palma de la mano hacia abajo (mientras sostiene el celular),  luego, la mano hacia arriba y hacia abajo alternativamente 10 veces, tan rápida y completamente como sea posible. Cuando este listo, presione el botón Empezar ejercicio.;Obrót w lewo;Obrót w lewo (pronacja-supinacja);Wyciągnij ** lewe ramię ** z ciała z dłonią w dół ** (trzymając telefon) **, a następnie obróć dłoń w górę i w dół na przemian do 10 razy. Naciśnij Rozpocznij ćwiczenie, gdy będziesz gotowy.;_pronation_left.webm
27;Movement;hand2nose;Kinetic tremor-Right;Right hand-to-nose movement;Please stretch the **right arm** out from your body **while holding your mobile**, then touch your nose with the mobile and stretch out your hand again. Repeat at least 3 times. Press Start button when you are ready.;Bewegungstremor der rechten hand;Bewegungstremor der rechten hand Deutsch beschreibung;Bewegungstremor der rechten hand Deutsch anweisung;Temblor en movimiento - Mano derecha;Movimiento de la mano derecha hacía la naríz;Por favor extienda el **brazo derecho** (mientras sostiene el celular). Luego llevar el celular hasta la naríz lentamente, y extienda el brazo nuevamente. Repetir este ejercicio 3 veces. Cuando esté listo, presione el botón Empezar.Drżenie kinetyczne - w prawo;Ruch od ręki do nosa;Wyciągnij ** prawe ramię ** z ciała **, trzymając telefon komórkowy **, a następnie dotknij nosa telefonem komórkowym i ponownie wyciągnij rękę. Powtórz co najmniej 3 razy. Naciśnij przycisk Start, gdy będziesz gotowy.;
28;Movement;hand2nose;Kinetic tremor-Left;Left hand-to-nose movement;Please stretch the **left arm** out in from of your body **while holding your mobile**, then touch your nose with the mobile and stretch out your hand again. Repeat at least 3 times. Press Start button when you are ready.;Bewegungstremor der linken hand;Bewegungstremor der linken hand Deutsch beschreibung;Bewegungstremor der linken hand Deutsch anweisung;Temblor en movimiento - Mano izquierda;Movimiento de la mano izquierda hacía la naríz;Por favor extienda el **brazo izquierdo** (mientras sostiene el celular). Luego llevar el celular hasta la naríz lentamente, y extienda el brazo nuevamente. Repetir este ejercicio 3 veces. Cuando esté listo, presione el botón Empezar.Drżenie kinetyczne - lewe;Ruch lewej ręki do nosa;Wyciągnij ** lewe ramię ** z ciała **, trzymając telefon komórkowy **, a następnie dotknij nosa telefonem komórkowym i ponownie wyciągnij rękę. Powtórz co najmniej 3 razy. Naciśnij przycisk Start, gdy będziesz gotowy.;
29;Movement;postural;Postural tremor-Right;Stretch out the right hand;Please stretch the **right arm** out in from of your body **while holding your mobile** and hold this position at least 10 seconds. Press Start button when you are ready.;Haltetremor der rechten hand;Haltetremor der rechten hand Deutsch beschreibung;Haltetremor der rechten hand Deutsch anweisung;Temblor en reposo - Brazo derecho;Mantener el brazo derecho extendido;Por favor extienda el **brazo derecho** (mientras sostiene el celular), y mantengalo en esta posición por 10 segundos. Cuando esté listo, presione el botón Empezar.;Drżenie postawy - prawo;Wyciągnij prawą rękę;Wyciągnij prawą rękę; wyciągnij ** prawe ramię ** z ciała **, trzymając telefon ** i utrzymuj tę pozycję przez co najmniej 10 sekund. Naciśnij przycisk Start, gdy będziesz gotowy.;
30;Movement;postural;Postural tremor-Left;Stretch out the left hand;Please stretch the **left arm** out in from of your body **while holding your mobile** and hold this position at least 10 seconds. Press Start button when you are ready.;Haltetremor der linken hand;Haltetremor der linken hand beschreibung;Haltetremor der linken hand deutch anweisung;Temblor en reposo - Brazo izquierdo;Mantener el brazo izquierdo extendido;Por favor extienda el **brazo izquierdo** (mientras sostiene el celular), y mantengalo en esta posición por 10 segundos. Cuando esté listo, presione el botón Empezar.;Drżenie postawy lewe;Wyciągnij lewą rękę;Rozciągnij ** lewe ramię ** na zewnątrz ciała **, trzymając telefon ** i utrzymuj tę pozycję przez co najmniej 10 sekund. Naciśnij przycisk Start, gdy będziesz gotowy;
31;Movement;gaitfourtimes;Gait;Walk a short path;Please walk from your bedroom to your kitchen and come back during **four** times, Press start button when you are ready.;Gehen;Gehen deutsch beschreibung;Gehen deutsch anweisung;Marcha;Recorrrer un camino corto;Manteniendo el celular en su bolsillo, recorra un camino corto de ida y vuelta 4 veces. Por ejemplo, desde su habitación hasta la cocina. Cuando este listo, presione el botón Empezar.;Chód;Idź krótką ścieżką;Przejdź z sypialni do kuchni i wróć ** cztery razy **. Naciśnij przycisk Start, gdy będziesz gotowy.;
32;Movement;gaittwomins;Gait-Free;Walk around;Please walk around your house during **two minutes**. Press start button when you are ready.;Gehen 2;Gehen2 deutsch beschreibung;Gehen2 deutsch anweisung;Marcha libre;Caminar libremente;Camine libremente durante 2 minutos. Cuando esté listo, presione el botón Empezar.;Bez chodu;Iść dookoła;Chodź po domu przez ** dwie minuty **. Naciśnij przycisk Start, gdy będziesz gotowy.;
33;Tapping;finger1;Finger tapping 1;The bug game with one finger;Please, Tap as many bugs you can until the time is over. Use only **one** finger. Press Start button when you are ready.;Fingertippen;Fingertippen beschreibung;Fingertippen anweisung;Destreza 1;Destreza con un dedo;A continuación aplaste los insectos que aparecerán en la pantalla utilizando **un sólo dedo** (Mano izquierda **o** derecha). Aplaste tantos insectos le sea posible antes de que se acabe el tiempo. Cuando este listo, presione el botón Empezar ejercicio.;Stukanie palcem 1;Gra błędów jednym palcem;Stuknij jak najwięcej błędów, dopóki nie skończy się czas. Używaj tylko ** jednego ** palca. Naciśnij przycisk Start, gdy będziesz gotowy.;_tapping_one.webm
34;Tapping;finger2;Finger tapping 2;The bug game with two fingers;Please, Tap as many bugs you can until the time is over. Use **two** fingers. Press Start button when you are ready.;Fingertippen2;Fingertippen2 beschreibung;Fingertippen2 anweisung;Destreza 2;Destreza con dos dedos;A continuación aplaste los insectos que aparecerán en la pantalla utilizando **los dos dedos**. Aplaste tantos insectos le sea posible antes de que se acabe el tiempo. Cuando este listo, presione el botón Empezar ejercicio.;Stukanie palcem 2;Gra z dwoma palcami;Stuknij jak najwięcej błędów, dopóki nie skończy się czas. Użyj ** dwóch ** palców. Naciśnij przycisk Start, gdy będziesz gotowy.;_tapping_two.webm
35;Tapping;sliding;Sliding;Move the bar;Please move the bar to the target position. Press Start button when you are ready.;Ruschen;Ruschen beschreibung;Ruschen anweisung;Desplazamineto de barra;Mover la barra;Mueva la barra que aparecerá en pantalla hasta la posición indicada. Cuando este listo, presione el botón Empezar ejercicio.;Sliding;Przesuń pasek;Przesuń pasek do pozycji docelowej. Naciśnij przycisk Start, gdy będziesz gotowy.;_sliding.webm
36;Facial;rightwink;RightWink;Wink the right eye;Please wink the right eye;RightWink;Winks the right eye;Please wink the right eye;Guiñar el ojo derecho;Guiña el ojo derecho;Por favor guiña el ojo derecho como lo muestra el emoticon;RightWink;Mrugnij prawym okiem;Mrugnij prawym okiem;_rightwink.webm
37;Facial;leftwink;leftWink;Winks the left eye;Please wink the left eye;leftWink;Wink the left eye;Please wink the left eye;Guiñar el ojo izquierdo;Guiña el ojo izquierdo;Por favor guiña el ojo izquierdo como lo muestra el emoticon;leftWink;Mruga lewym okiem;Mruga lewym okiem;_leftwink.webm
38;Facial;happy;Happy;Smile in front of the camera;Please smile in front of the camera;Happy;Smile in front of the camera;Please smile in front of the camera;Sonrie frente de la camara;Sonrie frente de la camara;Por favor sonrie como lo muestra el emoticon;Szczęśliwy;Uśmiechnij się przed kamerą;uśmiechnij się przed kamerą;_happy.webm
